company_clean,connection_count,top_persona,top_area,avg_priority_score,suggested_market,suggested_category,manual_market,manual_category,reason
NTConsult,8,Other,Other,29.6,,,,,
Cielo,8,Data Engineer,Analytics,31.5,,,,,
Oracle,8,Other,Management,28.5,,,,,
Randstad Uruguay,8,Other,Other,48.9,,,,,
Robert Walters,8,Consultant,Consulting,23.8,,,,,
Insi,8,Recruiter,Recruiting,35.4,LATAM_USD,,,,
Sigma Software Group,8,Other,Management,36.4,,,,,
SThree,8,Consultant,Management,26.1,,,,,
TIVIT,8,Other,Management,28.9,,,,,
TPC Logística Inteligente,8,Other,Other,18.1,,,,,
SulAmérica,8,Other,Other,22.9,,,,,
Flink,8,Director,Management,35.4,,,,,
Coforge,8,Talent Acquisition,Recruiting,49.2,LATAM_USD,,,,
Construtora Tenda,7,Other,HR,21.1,,,,,
Decision,7,Recruiter,Recruiting,45.7,LATAM_USD,,,,
Capco,7,Data Engineer,Data Engineering,29.1,,,,,
Profesional independiente,7,Other,Other,25.9,,,,,
Walmart Chile,7,Other,Other,45.6,,,,,
Sodexo,7,Other,HR,13.3,,,,,
banco BV,7,Data Analyst,Analytics,21.6,,,,,
Dasa,7,HR,HR,27.3,,,,,
AltoQi,7,Other,Analytics,25.6,,,,,
The Adecco Group,7,Consultant,Consulting,26.9,,,,,
Uber,7,Recruiter,Recruiting,33.0,LATAM_USD,,,,
TQI,7,Other,Management,29.7,,,,,
Hotmart,7,Data Engineer,Data Engineering,34.4,,,,,
F1RST Digital Services,7,Other,Management,22.1,,,,,
Citi,6,Data Analyst,Management,28.2,,,,,
DB,6,Data Engineer,Data Engineering,22.0,,,,,
Petlove,6,Data Analyst,Analytics,23.3,,,,,
Natura,6,Other,Management,26.2,,,,,
"NTT DATA, Inc",6,Data Engineer,Data Engineering,35.5,,,,,
ilegra,6,Other,Other,27.2,,,,,
Ipiranga,6,Other,Other,22.5,,,,,
Inetum,6,Talent Acquisition,Recruiting,38.0,LATAM_USD,,,,
Grupo MAG,6,Other,Other,13.7,,,,,
Strider,6,Other,Recruiting,30.0,,,,,
Taylor Hopkinson | Powered by Brunel,6,Consultant,Consulting,22.2,,,,,
Nestlé,6,Other,Other,26.0,,,,,
Bracell,6,Other,Other,21.7,,,,,
Guidance,6,Recruiter,Recruiting,32.2,LATAM_USD,,,,
Jump,6,Data Engineer,Data Engineering,26.8,,,,,
Dev.Pro,6,Recruiter,Recruiting,38.8,LATAM_USD,,,,
Truelogic Software,6,Talent Acquisition,Recruiting,52.0,LATAM_USD,,,,
Data Mundo,6,Data Analyst,Analytics,37.2,,,,,
BCG X,6,Data Engineer,Management,33.5,,,,,
LHH,6,Consultant,Consulting,34.0,,,,,
emagine,6,Other,Recruiting,33.8,,,,,
Maxxi,6,Other,Other,28.5,,,,,
Opah IT,6,Recruiter,Recruiting,33.5,LATAM_USD,,,,
Banco Bmg,6,Other,Other,28.7,,,,,
Hire With Near,6,Sourcer,Recruiting,35.3,LATAM_USD,,,,
HelloFresh,6,Talent Acquisition,Recruiting,42.8,LATAM_USD,,,,
DP6,6,Other,Management,33.0,,,,,
Suzano,6,HR,HR,18.0,,,,,
Cresol Cooperativa,5,Other,Other,17.6,,,,,
Pipefy,5,Other,Other,26.0,,,,,
Confidential,5,Data Engineer,Data Engineering,33.0,,,,,
Progressive Recruitment,5,Consultant,Consulting,20.6,,,,,
Multiplica Talent,5,Talent Acquisition,Management,48.0,LATAM_USD,,,,
nstech,5,Other,Other,33.2,,,,,
Epsilon Solutions Ltd. SA de CV,5,Recruiter,Recruiting,40.6,LATAM_USD,,,,
NUMEN,5,Other,Other,22.8,,,,,
Page Personnel,5,Recruiter,Recruiting,36.6,LATAM_USD,,,,
RNP,5,Other,Analytics,21.0,,,,,
Selbstständig,5,Other,Other,18.4,,,,,
Kienbaum,5,Other,Other,24.4,,,,,
Amadeus Fire,5,Consultant,Consulting,22.4,,,,,
Robert Half,5,Director,Management,32.8,,,,,
Cadmus Soluções em TI,5,Recruiter,Recruiting,33.4,LATAM_USD,,,,
LUZA Group,5,Other,HR,25.0,,,,,
YDUQS,5,Data Analyst,Analytics,26.8,,,,,
WAYON IT Solutions,5,Other,Other,35.6,,,,,
SOW,5,Other,HR,30.8,,,,,
Qaracter - Beyond your Challenge,5,HR,Recruiting,38.4,,,,,
Mercado Libre,5,Other,Other,27.2,,,,,
QUALIFICAR TI,5,Data Scientist,Data Science / AI,30.8,,,,,
MJV Technology & Innovation,5,Other,Other,35.2,,,,,
BASF Services Americas,5,HR,HR,29.6,,,,,
ManpowerGroup,5,Recruiter,Recruiting,38.2,LATAM_USD,,,,
Andersen Lab,5,Recruiter,Recruiting,46.4,LATAM_USD,,,,
Programmers,5,Other,Other,26.4,,,,,
UltraCon Consultoria,5,Recruiter,Recruiting,39.2,LATAM_USD,,,,
ExxonMobil,5,Data Engineer,Data Engineering,30.0,,,,,
Improving,5,Other,HR,28.6,,,,,
KWS Group,5,Other,Other,13.8,,,,,
Banco Carrefour,5,Other,Management,20.6,,,,,
Basis Tecnologia da Informação S.A,5,Recruiter,Recruiting,36.2,LATAM_USD,,,,
Softtek,5,Other,Other,30.8,,,,,
Delfia,5,Other,HR,30.0,,,,,
Gi Group Holding,5,HR,HR,25.8,,,,,
Deutsche Bank,5,Other,Management,36.4,,,,,
GetYourGuide,5,Other,Analytics,40.4,,,,,
TP,5,Other,Recruiting,31.4,,,,,
Teleperformance,5,Other,Management,37.2,,,,,
DOJO - Smart Ways,5,Director,Management,34.6,,,,,
iTRTech Group,5,Other,Management,31.4,,,,,
Visa,4,Director,Management,40.2,,,,,
Caveo,4,Other,Management,29.2,,,,,
Cloudster,4,Other,Management,41.5,,,,,
CodeRoad Inc,4,Recruiter,Recruiting,49.0,LATAM_USD,,,,
Petrobahia S.A,4,Other,Other,11.0,,,,,
ArcelorMittal Sistemas,4,Other,Management,26.2,,,,,
Nava | Tech for Business,4,Recruiter,Recruiting,56.8,LATAM_USD,,,,
Neon,4,HR,HR,22.8,,,,,
Aubay Portugal,4,Executive,Management,54.2,,,,,
Mouts TI,4,Recruiter,Recruiting,38.2,LATAM_USD,,,,
Avature,4,HR,Recruiting,35.8,,,,,
Pulse Client Experts,4,HR,HR,27.8,,,,,
Praxis,4,Other,Other,29.8,,,,,
Power Tuning,4,Data Engineer,Data Engineering,24.2,,,,,
NDA,4,Other,Other,26.2,,,,,
Quantum World Technologies Inc,4,Other,Management,47.8,,,,,
RD Saúde,4,Other,Other,14.0,,,,,
Wellhub,4,Data Engineer,Analytics,24.8,,,,,
Cross Border Talents,4,Other,Management,32.0,,,,,
Mirante Tecnologia,4,Data Engineer,Data Engineering,34.2,,,,,
Velozient,4,Other,Other,28.2,,,,,
Accord Innovations,4,Talent Acquisition,Recruiting,46.5,LATAM_USD,,,,
SysMap Solutions,4,Other,HR,16.8,,,,,
Syren Cloud Inc,4,Talent Acquisition,Recruiting,55.0,LATAM_USD,,,,
GlobalLogic,4,Other,Other,30.8,,,,,
Takeda,4,Other,Other,28.0,,,,,
US Tech Solutions,4,Recruiter,Recruiting,56.5,LATAM_USD,,,,
FERCHAU,4,Other,Management,26.5,,,,,
Entrust it - Consultoria em TI,4,Other,HR,31.0,,,,,
Ensitech,4,Recruiter,Recruiting,57.8,LATAM_USD,,,,
Escale,4,Other,Management,28.8,,,,,
CGI,4,Director,Consulting,39.8,,,,,
Equifax I BoaVista,4,Other,Management,23.5,,,,,
Equifax,4,HR,Management,30.2,,,,,
Monitor Deloitte,4,Other,Other,22.2,,,,,
Gupy,4,Other,Other,14.2,,,,,
Grupo GFT,4,Director,Management,33.0,,,,,
Straumann Group,4,Other,Management,32.5,,,,,
Grupo Fleury,4,Other,Other,17.0,,,,,
RED Global,4,Other,Management,33.2,,,,,
Minerva Foods,4,Other,Management,20.5,,,,,
BASF,4,Other,Management,35.0,,,,,
Raízen,4,Other,Management,18.0,,,,,
Rede Américas,4,Other,Analytics,19.0,,,,,
Flash,4,Data Analyst,Recruiting,33.8,,,,,
The HEINEKEN Company,4,Other,Other,22.8,,,,,
Timenow,4,Other,Other,20.5,,,,,
Tigo Bolivia,4,Other,Other,34.2,,,,,
Farmácias Pague Menos,4,Director,HR,31.2,,,,,
Haleon,4,Talent Acquisition,Recruiting,34.8,LATAM_USD,,,,
Grupo Panvel,4,Other,HR,16.5,,,,,
B3,4,Other,Analytics,27.5,,,,,
BEES,4,Other,Management,28.8,,,,,
RSE - Gerenciamento de Risco e Sustentabilidade,4,Other,Other,11.8,,,,,
Ratbacher GmbH,4,Other,Management,24.2,,,,,
SAUTER,4,HR,HR,30.5,,,,,
Reply,4,Other,Consulting,25.0,,,,,
Direcional Engenharia,4,Other,Other,19.2,,,,,
Driva,4,Executive,Management,34.2,,,,,
CSP Tech,4,Other,Other,30.0,,,,,
Tecla T,4,Recruiter,Recruiting,45.0,LATAM_USD,,,,
Lenovo,4,HR,HR,17.8,,,,,
BNP Paribas,4,Data Engineer,Data Engineering,18.2,,,,,
Self Employed,4,Consultant,Consulting,18.8,,,,,
Sabesp,4,Other,Other,16.2,,,,,
Jusbrasil,4,Data Engineer,Management,38.2,,,,,
VTEX,4,Data Scientist,Data Science / AI,30.8,,,,,
Vetta,4,HR,HR,22.8,,,,,
Solvo Global,4,Talent Acquisition,Recruiting,37.5,LATAM_USD,,,,
Solar Coca-Cola,4,Other,Other,33.0,,,,,
Banco Unión S.A,4,Other,Other,21.0,,,,,
Sem Parar Corpay,4,Product,Product,24.2,,,,,
Infleet - Gestão de Frotas,4,Other,Management,22.5,,,,,
Softplan,4,HR,HR,20.5,,,,,
IFIT Solutions,4,Recruiter,Recruiting,46.8,LATAM_USD,,,,
Spin,4,Head of Data,Analytics,34.8,,,,,
Spassu,4,Recruiter,Recruiting,30.8,LATAM_USD,,,,
Hitachi Energy,4,Other,Management,16.8,,,,,
Honeywell,4,HR,HR,33.5,,,,,
Grupo Vorp,4,Other,Other,18.5,,,,,
EXAME,4,Other,Other,24.2,,,,,
W3haus,4,Other,Management,22.2,,,,,
Taller,4,Recruiter,Recruiting,38.8,LATAM_USD,,,,
Gi Group,4,Consultant,Consulting,20.8,,,,,
GEP Worldwide,4,Other,Other,26.2,,,,,
Brunel,4,Other,Management,23.2,,,,,
AMS,4,Other,Other,26.0,,,,,
Choco,4,Software Engineer,Software Engineering,36.5,,,,,
amaxo GmbH,4,Other,Management,24.8,,,,,
beAnalytic,4,Other,Analytics,25.2,,,,,
Plan A Technologies,4,Other,Other,43.5,,,,,
Positivo Tecnologia,4,Other,Other,23.0,,,,,
NAVA - Technology for Business,4,Recruiter,Recruiting,54.8,LATAM_USD,,,,
PIXIE,4,Other,Management,34.5,,,,,
dti digital,4,Data Engineer,Data Engineering,28.0,,,,,
Cooperativa Central Ailos,4,Other,Other,16.2,,,,,
Cotrijal Cooperativa Agropecuária e Industrial,4,Other,HR,11.8,,,,,
A3Data,4,Director,Management,45.2,,,,,
Cogna Educação,4,Director,Management,34.0,,,,,
mazzatech,4,Recruiter,Recruiting,55.2,LATAM_USD,,,,
Compass.uol,4,Consultant,Analytics,28.2,,,,,
Concentrix,4,Talent Acquisition,Recruiting,51.5,LATAM_USD,,,,
iPeople Infosystems LLC,3,Other,Other,30.0,,,,,
4SolutionGroup,3,Recruiter,Recruiting,43.3,LATAM_USD,,,,
Consórcio Embracon,3,Other,BI,20.7,,,,,
PSW Digital,3,Data Engineer,Data Engineering,33.0,,,,,
PROPOSITO Human Capital Solutions,3,Consultant,Consulting,18.7,,,,,
Danone,3,Data Analyst,Analytics,28.0,,,,,
ZENVIA,3,Other,Other,33.3,,,,,
Visagio,3,Consultant,Consulting,18.0,,,,,
Vibra,3,Data Engineer,Data Engineering,21.7,,,,,
Parallel Staff,3,Talent Acquisition,Recruiting,51.0,LATAM_USD,,,,
ParallelStaff,3,Other,Recruiting,42.3,,,,,
Paired,3,Recruiter,Recruiting,47.0,LATAM_USD,,,,
meutudo,3,Director,Management,32.7,,,,,
Paytrack,3,HR,HR,23.7,,,,,
Objective,3,Recruiter,Recruiting,37.0,LATAM_USD,,,,
1950Labs,3,Recruiter,Recruiting,40.3,LATAM_USD,,,,
1GLOBAL,3,Talent Acquisition,Recruiting,38.3,LATAM_USD,,,,
VYZE INC,3,Recruiter,Recruiting,46.3,LATAM_USD,,,,
GRUPO LPJ,3,Data Engineer,Data Engineering,27.3,,,,,
GOL Linhas Aéreas,3,Other,Other,16.3,,,,,
Bus2,3,Other,Other,17.7,,,,,
GitLab,3,Data Engineer,Data Engineering,29.3,,,,,
Gerdau,3,Other,Management,17.0,,,,,
Tech First,3,Sourcer,Recruiting,50.7,LATAM_USD,,,,
Accenture Colombia,3,Data Analyst,Analytics,46.7,,,,,
Accenture Song,3,Other,Management,31.0,,,,,
WE CAN BR Recursos Humanos,3,HR,HR,21.7,,,,,
WEX,3,Other,Other,17.3,,,,,
Bio-Rad Laboratories,3,Operations,Operations,15.0,,,,,
Horizontal Talent,3,Other,Other,30.0,,,,,
Highspring,3,Other,Management,33.3,,,,,
Alcor,3,Recruiter,Recruiting,44.3,LATAM_USD,,,,
Benner,3,HR,HR,20.3,,,,,
Bayer,3,Other,Data Engineering,33.7,,,,,
Icatu Seguros,3,Data Engineer,Data Engineering,26.3,,,,,
IDM Technology,3,Other,Other,27.3,,,,,
